City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,65.07,61.0,4.0,6.42,NZ,1706484760.0
1,adamstown,-25.066,-130.1015,76.21,76.0,100.0,9.91,PN,1706484760.0
2,albany,42.6001,-73.9662,34.36,85.0,100.0,1.01,US,1706484487.0
3,isafjordur,66.0755,-23.124,21.61,90.0,100.0,4.0,IS,1706484584.0
4,pont rouge,48.8833,-72.0825,30.49,96.0,98.0,3.53,CA,1706484761.0
5,susuman,62.7833,148.1667,-40.02,99.0,74.0,1.01,RU,1706484761.0
6,minas de marcona,-15.2119,-75.1103,68.79,71.0,7.0,11.34,PE,1706484761.0
7,harper,4.375,-7.7169,79.7,84.0,4.0,6.58,LR,1706484761.0
8,port-aux-francais,-49.35,70.2167,40.87,66.0,92.0,32.35,TF,1706484486.0
9,talnakh,69.4865,88.3972,9.21,94.0,100.0,12.8,RU,1706484762.0
10,dunedin,-45.8742,170.5036,64.6,63.0,4.0,6.33,NZ,1706484762.0
11,morada nova,-5.1067,-38.3725,81.1,72.0,99.0,8.93,BR,1706484762.0
12,grytviken,-54.2811,-36.5092,41.85,78.0,25.0,15.23,GS,1706484489.0
13,hermanus,-34.4187,19.2345,65.8,79.0,85.0,4.92,ZA,1706484763.0
14,antsiranana,-12.2787,49.2917,77.41,82.0,55.0,7.72,MG,1706484550.0
15,ghat,24.9647,10.1728,53.8,44.0,0.0,3.91,LY,1706484763.0
16,afaahiti,-17.75,-149.2833,87.67,74.0,59.0,1.43,PF,1706484763.0
17,cargados carajos,,,,,,,,
18,chirilagua,13.2203,-88.1386,96.49,49.0,12.0,1.16,SV,1706484764.0
19,bethel,41.3712,-73.414,37.2,86.0,100.0,3.0,US,1706484764.0
20,puerto natales,-51.7236,-72.4875,53.01,77.0,99.0,4.65,CL,1706484764.0
21,west island,-12.1568,96.8225,78.78,69.0,40.0,10.36,CC,1706484764.0
22,phalauda,29.1833,77.8167,48.83,52.0,7.0,4.79,IN,1706484765.0
23,fort mcmurray,56.7268,-111.381,47.79,61.0,0.0,16.11,CA,1706484730.0
24,margate,51.3813,1.3862,46.69,88.0,100.0,5.01,GB,1706484304.0
25,ipsala,40.9212,26.3827,39.0,78.0,51.0,15.84,TR,1706484765.0
26,ondjiva,-17.0667,15.7333,75.24,50.0,0.0,0.0,AO,1706484765.0
27,rio grande,-32.035,-52.0986,73.51,85.0,17.0,11.07,BR,1706484766.0
28,atafu village,-8.5421,-172.5159,84.85,73.0,45.0,7.63,TK,1706484766.0
29,thompson,55.7435,-97.8558,14.16,85.0,100.0,4.61,CA,1706484766.0
30,merowe,18.4833,31.8167,59.31,34.0,100.0,11.52,SD,1706484766.0
31,avarua,-21.2078,-159.775,80.65,83.0,75.0,8.05,CK,1706484531.0
32,waitangi,-43.9535,-176.5597,66.81,97.0,100.0,5.99,NZ,1706484767.0
33,edinburgh of the seven seas,-37.0676,-12.3116,61.07,75.0,72.0,17.52,SH,1706484767.0
34,bilibino,68.0546,166.4372,-21.78,98.0,100.0,3.65,RU,1706484767.0
35,nar'yan-mar,67.6713,53.087,19.42,94.0,100.0,13.09,RU,1706484641.0
36,utrik,11.2278,169.8474,78.22,68.0,100.0,13.42,MH,1706484768.0
37,iqaluit,63.7506,-68.5145,-36.31,52.0,20.0,9.22,CA,1706484768.0
38,george town,5.4112,100.3354,78.73,82.0,20.0,5.99,MY,1706484768.0
39,cabedelo,-6.9811,-34.8339,83.07,79.0,99.0,11.77,BR,1706484768.0
40,hamilton,39.1834,-84.5333,39.42,93.0,100.0,14.97,US,1706484481.0
41,lethem,3.3803,-59.7968,86.76,42.0,13.0,8.84,GY,1706484769.0
42,grand falls-windsor,48.9332,-55.6649,21.85,95.0,65.0,5.23,CA,1706484769.0
43,kulhudhuffushi,6.6221,73.07,80.69,67.0,64.0,8.05,MV,1706484769.0
44,college,64.8569,-147.8028,-20.2,64.0,75.0,0.0,US,1706484659.0
45,port lincoln,-34.7333,135.8667,68.58,66.0,0.0,11.5,AU,1706484590.0
46,port saint john's,-31.6229,29.5448,74.66,84.0,45.0,6.91,ZA,1706484770.0
47,puerto ayora,-0.7393,-90.3518,79.93,79.0,96.0,8.41,EC,1706484770.0
48,lebu,-37.6167,-73.65,57.78,81.0,0.0,16.6,CL,1706484770.0
49,alotau,,,,,,,,
50,mazamari,-11.3258,-74.5308,74.19,89.0,79.0,1.39,PE,1706484770.0
51,margaret river,-33.95,115.0667,61.34,60.0,50.0,6.93,AU,1706484771.0
52,funafuti,-8.5243,179.1942,78.8,94.0,100.0,9.22,TV,1706484562.0
53,aykhal,66.0,111.5,-14.17,56.0,86.0,6.44,RU,1706484771.0
54,santa terezinha,-29.9002,-50.0904,72.37,86.0,99.0,5.82,BR,1706484771.0
55,dongola,19.1667,30.4833,58.12,38.0,88.0,10.2,SD,1706484772.0
56,abu road,24.4833,72.7833,60.06,37.0,100.0,1.9,IN,1706484772.0
57,bardai,11.65,7.2333,63.28,21.0,0.0,11.39,NG,1706484772.0
58,salto de pirapora,-23.6489,-47.5733,67.86,87.0,50.0,5.53,BR,1706484772.0
59,nizhniy kuranakh,58.8353,125.4869,-42.79,100.0,100.0,1.41,RU,1706484772.0
